,name,link,compensation,employer_name,employer_link,vacancy_address,pub_date
0,Junior Data Engineer,https://hh.ru/vacancy/45827027?query=Data%20science,"('80000', '120000', 'руб.')",Платформа ОФД,https://hh.ru/employer/3536900,Москва,2 июля
1,Data Scientist,https://hh.ru/vacancy/45860941?query=Data%20science,"('100000', '200000', 'руб.')",ООО    Семантекс,https://hh.ru/employer/4554396,Москва,30 июня
2,Data Scientist,https://hh.ru/vacancy/45191074?query=Data%20science,"('', '250000', 'руб.')",Точка,https://hh.ru/employer/2324020,Москва,3 июля
3,Data Scientist / Аналитик Data Science,https://hh.ru/vacancy/45062052?query=Data%20science,Не указано,Forecsys,https://hh.ru/employer/14896,Москва,3 июля
4,Аналитик данных алгоритмической торговли,https://hh.ru/vacancy/45603462?query=Data%20science,Не указано,Quanthill,https://hh.ru/employer/5490859,Москва,3 июля
5,Разработчик Python / Data Engineer,https://hh.ru/vacancy/45627188?query=Data%20science,"('150000', '', 'руб.')",ООО    Далитикс,https://hh.ru/employer/5175750,Москва,1 июля
6,Data Scientist,https://hh.ru/vacancy/45196738?query=Data%20science,"('', '160000', 'руб.')",ООО    Баум-Информ,https://hh.ru/employer/5465724,Москва,30 июня
7,Data Scientist в Яндекс.Маркет,https://hh.ru/vacancy/45870312?query=Data%20science,Не указано,Яндекс,https://hh.ru/employer/1740,Москва,30 июня
8,Junior Quantitative Researcher,https://hh.ru/vacancy/44942169?query=Data%20science,"('100000', '', 'руб.')",ДВ технологии,https://hh.ru/employer/4276064,Москва,2 июля
9,Директор по рискам/Head of data science,https://hh.ru/vacancy/45680665?query=Data%20science,Не указано,Pay P.S.,https://hh.ru/employer/1039977,Москва,2 июля
10,Data Scientist( Казначейство),https://hh.ru/vacancy/45938333?query=Data%20science,Не указано,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва,2 июля
11,"Data-science Intern/Analyst, Technology Group, Performance Improvement",https://hh.ru/vacancy/45726835?query=Data%20science,Не указано,Alvarez & Marsal CIS LLP (Moscow Branch Office),https://hh.ru/employer/1155525,Москва,30 июня
12,Аналитик Data Science,https://hh.ru/vacancy/45849604?query=Data%20science,Не указано,Корпорация ЭЛАР,https://hh.ru/employer/4526,Москва,30 июня
13,Senior Data Scientist (Recommender Systems),https://hh.ru/vacancy/40374266?query=Data%20science,"('250000', '', 'руб.')",FunCorp,https://hh.ru/employer/1212374,Москва,2 июля
14,Data Engineer,https://hh.ru/vacancy/45368081?query=Data%20science,Не указано,АНО ЦИСМ,https://hh.ru/employer/4563362,Москва,1 июля
15,Machine Learning Engineer в отдел Перформанса,https://hh.ru/vacancy/45317201?query=Data%20science,Не указано,"Mail.ru Group, Социальные сети, Одноклассники",https://hh.ru/employer/15478?dpt=mailru-15478-od,Москва,1 июля
16,Technical Product Manager (Data Science),https://hh.ru/vacancy/44362781?query=Data%20science,Не указано,ООО    Мастер Деливери,https://hh.ru/employer/5123323,Москва,30 июня
17,Data Scientist,https://hh.ru/vacancy/44487032?query=Data%20science,Не указано,DIGINETICA,https://hh.ru/employer/1723062,Москва,1 июля
18,Data Scientist,https://hh.ru/vacancy/45889940?query=Data%20science,Не указано,Teradata,https://hh.ru/employer/196122,Москва,2 июля
19,Data Scientist / Аналитик данных,https://hh.ru/vacancy/44880189?query=Data%20science,Не указано,АО    Рамакс Интернейшнл,https://hh.ru/employer/142514,Москва,30 июня
20,Senior Data Engineer,https://hh.ru/vacancy/37637853?query=Data%20science,"('', '350000', 'руб.')",Профи (profi.ru),https://hh.ru/employer/83639,Москва,28 июня
21,Team Lead /Senior data scientist,https://hh.ru/vacancy/45800048?query=Data%20science,Не указано,"ПАО    МегаФон, IT",https://hh.ru/employer/3127?dpt=mgfn-3127-it,Москва,28 июня
22,Senior Data Scientist,https://hh.ru/vacancy/42088119?query=Data%20science,Не указано,Циан,https://hh.ru/employer/1429999,Москва,28 июня
23,Data egeener / инженер данных,https://hh.ru/vacancy/45366752?query=Data%20science,Не указано,ИВ РОШЕ,https://hh.ru/employer/50664,Москва,28 июня
24,Старший аналитик/Senior Analyst,https://hh.ru/vacancy/45771733?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,1 июля
25,"Data Scientist, Поиск",https://hh.ru/vacancy/45760906?query=Data%20science,Не указано,Ozon Информационные технологии,https://hh.ru/employer/2180?dpt=ozonru-2180-dev,Москва,27 июня
26,Analyst,https://hh.ru/vacancy/45333797?query=Data%20science,Не указано,ID Finance,https://hh.ru/employer/1191643,Москва,3 июля
27,Business Data Scientist (Cyprus),https://hh.ru/vacancy/45830553?query=Data%20science,Не указано,Exness,https://hh.ru/employer/1312113,Москва,29 июня
28,Python developer (Big Data),https://hh.ru/vacancy/40289976?query=Data%20science,Не указано,"EPAM Systems, Inc.",https://hh.ru/employer/6769,Москва,28 июня
29,"Teamlead Data scientist (клиентская аналитика), Ozon Express",https://hh.ru/vacancy/45795989?query=Data%20science,Не указано,Ozon Express,https://hh.ru/employer/2180?dpt=ozonru-2180-express,Москва,28 июня
30,SQL Data Engineer,https://hh.ru/vacancy/45814393?query=Data%20science,Не указано,SegmentStream,https://hh.ru/employer/1564038,Москва,29 июня
31,R&D Engineer Computer Vision and Machine Learning,https://hh.ru/vacancy/45087995?query=Data%20science,Не указано,Envista Holdings Corporation,https://hh.ru/employer/640137,Москва,30 июня
32,Quantitative Researcher,https://hh.ru/vacancy/42629377?query=Data%20science,Не указано,WorldQuant,https://hh.ru/employer/826770,Москва,2 июля
33,Senior Data Scientist,https://hh.ru/vacancy/43276141?query=Data%20science,Не указано,Альфа-Банк. Экспертам и Руководителям,https://hh.ru/employer/80?dpt=80-80-expert,Москва,28 июня
34,Data Scientist / валидатор моделей банка,https://hh.ru/vacancy/43193122?query=Data%20science,Не указано,"«РОСБАНК, Societe Generale Group»",https://hh.ru/employer/599?dpt=rosbank-599-opyt,Москва,25 июня
35,Data analyst (Казначейство),https://hh.ru/vacancy/45785191?query=Data%20science,Не указано,Сбер для экспертов,https://hh.ru/employer/3529?dpt=3529-3529-prof,Москва,28 июня
36,Data Engineer,https://hh.ru/vacancy/41639471?query=Data%20science,Не указано,ООО    Gett,https://hh.ru/employer/938231,Москва,28 июня
37,Data sсientist (Реком. системы),https://hh.ru/vacancy/40704908?query=Data%20science,Не указано,ДомКлик,https://hh.ru/employer/2136954,Москва,1 июля
38,Middle Data Scientist (Delivery Club),https://hh.ru/vacancy/44568058?query=Data%20science,Не указано,"Mail.ru Group, E-commerce",https://hh.ru/employer/15478?dpt=mailru-15478-pcom,Москва,25 июня
39,Data scientist,https://hh.ru/vacancy/45693931?query=Data%20science,"('140000', '230000', 'руб.')",WakeApp,https://hh.ru/employer/1474584,Москва,23 июня
